# position,title,source,price,extracted_price,old_price,delivery,thumbnail,rating,reviews,store_rating,store_reviews
35,Razer Phone 2 - Gaming Android Smartphone,eBay - rustys_parts,$32.33,32.33,NA,Free delivery by Tue Apr 30,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTFCgH74YrCYH1hQH4L8QTFsACzdro3mFCyqx_B9i-BDu0d4TFLlv15TUVievZNNHq6HzT_fQNL&usqp=CAE,4.3,154,NA,NA
36,Walmart Family Mobile Motorola Moto G Pure (2021) 32GB Blue- Prepaid Smartphone,Today Store,$27.39,27.39,NA,Free delivery by Mon Apr 29,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRsMRTrKDmVjYnI5HEUo1kV4ORffEAwLDdDowyXK1_9kJQiUegGn79XPHKFopeeUCBmTdVTTqVw&usqp=CAE,2.8,317,NA,NA
37,Apple iPhone 15 Plus - 128 GB - Pink - Unlocked,Optimum Mobile,$0.00,0.0,NA,Free delivery by Mon Apr 29,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ3Lt7sj82bn4b9dKjZ6O18fmw6cbbCFYh3nrzCX-6qBuHTZbJxWvNSLjx3-yHuqv1atVkVhMU3&usqp=CAE,4.5,3679,NA,NA
38,RedMagic 9 Pro,redmagic,$799.00,799.0,NA,Free delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQAZS8uKnq0FRzyBqDZjts4vt3BI2Z046pv7B1jDmY_uzwBTnPoHK2hsbB-BuTUlQc2FCkSCMk&usqp=CAE,4.6,282,NA,NA
39,Samsung Galaxy A13 32GB Unlocked Android Smartphone,Reebelo USA,$83.99,83.99,NA,Free delivery by Apr 26 & Free 30-day returns,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQUiKRXb02OViplAcfuVWS_SmJW1G35P4HD8GbvMth_kzjvVQUqGFdJLIkZBHwK1qmsT-smH2A&usqp=CAE,4.3,7739,4.8,2600
40,Samsung Galaxy S24 - 128 GB - Marble Gray - Unlocked,Curacao,$799.99,799.99,NA,Delivery by Tue Apr 30,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQBEP30JQUoliMDODWiaHaIP-CUDcnncgNa0wqr7gr6wGkbaByOHGYyndc5qBE&usqp=CAE,4.5,4825,NA,NA
41,OnePlus 10 Pro,MyWorldPhone,$519.99,519.99,$799.99,Free delivery by Tue Apr 30,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ5kAt8DE6sR9UGzF5Nw1VRynSJ1MCH5M1B_EFEa1uB-1qZk47nwbzhVKF9hg&usqp=CAE,4.3,439,NA,NA
42,Nokia 2780 Flip TA-1420 GSM / Verizon Unlocked Flip Phone - Red,hmd/en_us,$89.99,89.99,NA,$9.00 delivery · Free 15-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR21v26OcaivI0B8UEThyWq2tIfcdaxA2cWTPDTYmYbBbzVJqEsckTkui-yBdYojo4aOScGWrk&usqp=CAE,3.9,552,NA,NA
43,Walmart Family Mobile TCL 30 Z 32GB Black- Prepaid Smartphone [Locked to ...,Walmart,$39.88,39.88,NA,Free delivery & Free 90-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSmf1torLE8NqCUjBvOQmGBIbtPURAc6y1zXw9ZWqNSXilO9TKVgeqz2BwrvKBorsFvK8ZGpFuK&usqp=CAE,2.8,105,4.5,1700
44,Simple Mobile Moto G Pure 32GB Blue - Prepaid Smartphone (Locked),Bonanza - Rudra43,$69.29,69.29,NA,$5.00 delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSvYTnrVtAiTgoyBf5poBD2AxwPdg0U5zkAXnFvK483XPwSIosSnA5baOccdCCDg0o6qo5ri_op&usqp=CAE,3.2,602,NA,NA
45,Motorola Edge - 256 GB - Solar Black - Unlocked - CDMA-GSM,Cellification,$199.99,199.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS-TdiSCS6wHpWtQetnlD_wmc2dVKj0i-i_x2NoE67e_iPN878&usqp=CAE,3.9,687,NA,NA
